Patient ID,KP 20th Percentile,KP 80th Percentile,KI 20th Percentile,KI 80th Percentile,KD 20th Percentile,KD 80th Percentile,KP 50th Percentile,KI 50th Percentile,KD 50th Percentile,KP mean,KI mean,KD mean
adult_1,-0.04605155251920223,0.00800304813310504,-0.0009219576604664326,0.0006992029375396669,-0.4346625730395317,-0.1773199439048767,-0.017567926086485386,-0.00031524733640253544,-0.33496347069740295,-0.013640052638947964,-4.4478401832748204e-05,-0.24747171998023987
adult_2,-0.046179759316146374,-0.010635560611262918,-0.0012342919944785535,7.700175046920776e-05,-0.3944245055317879,-0.21523091197013855,-0.032532185316085815,-0.0006053374381735921,-0.30143506824970245,-0.02715410850942135,-0.0005489779287017882,-0.2644420266151428
adult_3,-0.043356746435165405,0.00014660926535725594,-0.0016814718255773187,0.00015963299665600061,-0.38393684476614,-0.1911042183637619,-0.029345562681555748,-0.0005563515005633235,-0.29564109444618225,-0.017334358766674995,-0.0006316976505331695,-0.23634961247444153
adult_4,-0.04094891157001257,0.0019284673035144806,-0.0022540042409673333,-0.00018998485757037997,-0.3718114197254181,-0.12239275686442852,-0.032201919704675674,-0.001341870753094554,-0.2011384665966034,-0.007396503817290068,-0.0011996568646281958,-0.14707255363464355
adult_5,-0.04373783990740776,-0.006426987703889608,-0.0020386637188494205,1.886649988591671e-05,-0.3890741094946861,-0.15618149563670158,-0.03444674424827099,-0.0009997894521802664,-0.28294405341148376,-0.022285547107458115,-0.0009709692094475031,-0.23056794703006744
adult_6,-0.04595479369163513,-0.0008401153609156609,-0.0009895099210552871,0.0006130033580120653,-0.44252853095531464,-0.17348214983940125,-0.02799198031425476,-0.0004639499820768833,-0.3322163224220276,-0.01917307823896408,-0.00013748054334428161,-0.2640743553638458
adult_7,-0.04385647550225258,-0.01173340599052608,-0.001826613675802946,5.639437586069107e-05,-0.382276251912117,-0.16938906535506248,-0.03358735516667366,-0.0007093504536896944,-0.290807381272316,-0.026863543316721916,-0.0009098679875023663,-0.24629588425159454
adult_8,-0.04287822172045708,-0.008028117008507252,-0.00201889977324754,-4.7064211685210466e-05,-0.3714752048254013,-0.14984985813498497,-0.034123990684747696,-0.0008590212091803551,-0.2779870629310608,-0.02578076720237732,-0.0007433923310600221,-0.23550164699554443
adult_9,-0.04466749355196953,0.009673312772065401,-0.0014177047414705157,0.0004950051079504192,-0.4496755376458168,-0.18714183196425438,-0.01507398160174489,-0.0003345950972288847,-0.3330770432949066,-0.008278886787593365,-0.0004511090519372374,-0.25050878524780273
adult_10,-0.04077214561402798,0.010472916066646576,-0.0020169875351712108,0.00025591294979676604,-0.42080700397491455,-0.11065113916993141,-0.02546232007443905,-0.0007592937909066677,-0.29941052198410034,-0.00737641379237175,-0.0007381826872006059,-0.1943005621433258
adult_mean,-0.043840393982827665,-0.0007439833134412766,-0.0016400105087086558,0.0002137970906915143,-0.4040671981871128,-0.16527433712035416,-0.028233396587893367,-0.0006944807013496756,-0.2949620485305786,-0.01752832718193531,-0.0006375812226906419,-0.23165850341320038
